Title,Languages,Score
Oswaldo,Portuguese,8.3
Califórnia,Portuguese,7.2
Schossgebete,German,5
Wers Glaubt Wird Selig,"German, Italian, English",6.2
Come and Hug Me,Korean,8.1
Digby Dragon,English,7.2
Bad Papa,Korean,8
Dabangg,Hindi,6.2
The Messenger,"Polish, English",5.7
Kamerdyner,Polish,6.2
The Fortress,Korean,6.8
RocknRoll Eddie,Polish,5.7
RV: Resurrected Victims,Korean,5.7
Clara,"English, Spanish",6.7
Five Feet Apart,"English, French",7.2
Dark City,English,7.6
Limitless,English,6.8
Sinister Circle,Spanish,4.5
A.M.I.,English,3.9
First Kiss,Dutch,3.9
Mo Gilligan: Momentum,English,6.3
Cheese in the Trap,Korean,7.4
The K2,Korean,7.8
Chicago Typewriter,Korean,8.3
College Romance,Hindi,8.9
Tunnel,Korean,8.3
The Liar and His Lover,Korean,6.9
Engineering Girls,Hindi,6.9
Inmates,,6.6
Girls Hostel,Hindi,8.2
Wonder Park,English,5.9
What Men Want,"English, Mandarin",5.3
My Days of Mercy,English,6.4
Domino,"English, Arabic, French, Spanish, Dutch",4.4
60 Days In,English,7.7
Top Wing,English,6.2
UzaMaid!,Japanese,6.1
Run with the Wind,Japanese,8.4
Henry Danger,English,5.6
Amok,Polish,5.7
The Loud House,"English, Spanish",7.2
Kochaj,Polish,2.6
The Thundermans,English,5.8
Black Thursday,Polish,6.5
Na Układy Nie Ma Rady,Polish,3.9
Night School,"English, Spanish, French, Arabic",5.6
TUNA GIRL,Japanese,5.4
Bard of Blood,Hindi,7
In the Shadow of the Moon,,9.5
Dragons: Rescue Riders,,6.1
Skylines,,7.6
The Politician,English,7.5
Wotakoi: Love is Hard for Otaku,Japanese,7.6
The Last Family,Polish,7.5
Panie Dulskie,Polish,5.6
This Is Personal,English,5.7
Deliha 2,Turkish,4.5
Green Book,"English, Italian, Russian, German",8.2
Nancy Drew and the Hidden Staircase,English,5.7
Malaal,Hindi,5.8
Birders,"English, Spanish",6.4
Phantom Thread,"English, French",7.5
Prosta historia o morderstwie,Polish,5.9
Jeff Dunham: Beside Himself,English,6.8
Inside Man: Most Wanted,"English, German, French, Latin",5.6
Team Kaylie,English,4.2
Under the Eiffel Tower,English,5.3
Manmadhudu 2,Telugu,4.8
Do Paise Ki Dhoop Chaar Aane Ki Baarish,Hindi,6.4
The Wrath,Korean,5.2
Beautiful Days,Korean,6.4
Crossing Dates,Romanian,6.5
Two Sentence Horror Stories,English,5.6
Vagabond,"French, Arabic, English",7.7
King of Boys,"Yoruba, English, Ibo, Hausa",5.8
Where We Belong,"Thai, English",7
Criminal: Germany,German,7.7
Inside Bills Brain: Decoding Bill Gates,English,7.9
Between Two Ferns: The Movie,English,6.1
Criminal: France,French,7.2
True: Tricky Treat Day,English,7.2
Criminal: Spain,Spanish,6.9
Criminal: UK,English,7.6
The Hockey Girls,Catalan,7
Mamma Mu och Kråkan,Swedish,5.1
If Beale Street Could Talk,"English, Spanish",7.1
Travel Mates 2,Turkish,5.9
Kabir Singh,Hindi,7.1
When the Camellia Blooms,Korean,8
Escape Plan: The Extractors,"English, Chinese, German",4.4
Slaughterhouse Rulez,English,5.3
Transformers: Cyberverse,English,6.8
The Last Kids on Earth,English,7.5
Clive Davis: The Soundtrack of Our Lives,English,7.5
Pawn Stars,English,7.2
Bakugan: Battle Planet,"English, Korean",5.4
Los Tigres del Norte at Folsom Prison,Spanish,7
Back Home,Polish,6
The Rap Game,English,5.5
The Universe,English,8.7
The Treasure of the Silver Lake ,German,6.9
Ancient Aliens,English,7.5
Winnetou: The Red Gentleman,German,6.6
Winnetou: The Last Shot,German,6.7
Winnetou ,German,6.9
The Curse of Oak Island,English,7
Winnetou and the Crossbreed,German,5.8
Intervention,English,8.6
Surviving R. Kelly,English,7.6
We Have Always Lived in the Castle,English,5.6
The Outsider,English,5.2
Unbroken: Path to Redemption,"English, Italian",5.8
Baby Blues,Polish,4.3
Oh! Baby,English,7.4
Qualcosa di nuovo,Italian,5.7
"Hello, Privilege. Its Me, Chelsea",English,4.3
Marianne,French,7.5
Monarca,Spanish,8
Unbelievable,English,8.4
Top Boy,English,8.4
Shanghai Fortress,"Mandarin, English",4.3
Tall Girl,English,5.2
The Wedding Party 2: Destination Dubai,English,4.7
Red Vacance Black Wedding,Korean,4
Our President,English,5.6
The Battleship Island,"Korean, Japanese",7.1
Victor Young Perez,French,6.3
Real,"English, Ukrainian",7.1
The Merciless,"Korean, Russian",6.7
Seondal: The Man Who Sells the River,Korean,6.5
The King’s Case Note,Korean,6.4
Policeman and Me,Japanese,5.3
A Taxi Driver,"Korean, German, English, Japanese",7.9
Merry Men: The Real Yoruba Demons,"English, Yoruba",5.1
Fabricated City,Korean,6.9
Confidential Assignment,Korean,6.6
Garak Market Revolution,Korean,6.3
Miss Butcher,Korean,5.5
Eun-Ha,Korean,6.8
"Lets Go, JETS! From Small Town Girls to U.S. Champions?!","Swedish, Spanish",7.9
"Daddy You, Daughter Me",Korean,6.3
Deviant Love,English,3.5
"The Mind, Explained",English,8
The I-Land,English,4.5
Laughing Under the Clouds,Japanese,5.5
Betty en NY,"Spanish, English",7.7
Tobot,English,6.5
Bill Burr: Paper Tiger,English,8.2
Evelyn,English,7
Our Godfather,English,6.8
Norm of the North: King Sized Adventure,English,3.3
The Entity,English,6.7
Tommaso,Italian,5.9
The Bletchley Circle: San Francisco,English,6.9
Time Freak,English,5.8
Drunk Parents,"English, Spanish, German",3.9
I Still See You,English,5.8
Fantastic Beasts: The Crimes of Grindelwald,"English, French",6.6
Destination Wedding,"English, Spanish",6
The Modest Heroes of Studio Ponoc,"Japanese, English",6.5
The Spy,"Norwegian, English, Swedish, German",6.1
Ainori Love Wagon: African Journey,Japanese,7.4
Blinded by the Light,English,6.9
A Dogs Way Home,English,6.7
Ee Nagaraniki Emaindi,Telugu,7.9
Avengement,English,6.5
Zenigata,Japanese,5.6
Kids on the Slope,Japanese,6.8
Aquaman,"English, Russian, Maori, Italian",6.9
Kingsman: The Golden Circle,"English, Italian, Swedish",6.7
The World We Make,English,5.2
My Secret Romance,Korean,7.2
Splash Splash Love,Korean,7.8
Tokimeki Tonight,Japanese,7.5
Homme Less,English,7.2
Downrange,English,5.4
PAW Patrol: Mighty Pups,"English, Portuguese, Spanish",4.3
The Crystal Calls Making the Dark Crystal: Age of Resistance,English,7.6
The Image Book,"French, English, Arabic, Italian, German",6.2
Sink or Swim,"French, English, Sinhalese, Norwegian",7
Perfectos desconocidos,Spanish,6.6
Mekhong Full Moon Party,"Thai, Lao",7.2
Garfield Gets Real,"English, Flemish",4.4
For the Birds,English,6.8
Pee Nak,Thai,4.7
Wonder Wheel,English,6.2
Planeta Singli,Polish,6.8
Spookley the Square Pumpkin,English,5
Saawan,Urdu,7.3
Used Goods,Arabic,4.8
Elena,"Portuguese, English",7.6
The CEO,"English, French, Arabic, Yoruba, Swahili, Chinese",6.2
Watchman,Tamil,5.3
Phone Swap,English,6
Uncle Naji in UAE,Arabic,5.4
Mokalik (Mechanic),"English, Yoruba",6.3
Luo Bao Bei,,7.7
Agent Ranjid Rettet Die Welt,German,3.3
Da Geht Noch Was,German,6.3
Irre Sind Männlich,German,5.7
Feo pero sabroso,Spanish,4.2
Back to School,French,5.3
13 Commandments,"Turkish, Flemish",7
Unbridled,Spanish,5
The A List,English,5.4
The Good Bandit,Spanish,7.8
Styling Hollywood,,6.7
The Dark Crystal: Age of Resistance,English,8.5
Mi amigo Alexis,Spanish,4.8
Falling Inn Love,English,5.6
Kardec,Portuguese,6.1
My Girl,Thai,8
The Tin Mine,"Thai, English",8.1
Dear Dakanda,Thai,7.8
Travis Scott: Look Mom I Can Fly,English,6.3
Hell Fest,English,5.5
Polis Evo,Malay,6.9
Polis Evo 2,Malay,7.1
Addio fottuti musi verdi,Italian,5.5
Two Thumbs Up,"Cantonese, Mandarin",6.2
Article 15,Hindi,8.2
Rust Valley Restorers,English,7.8
Kaake Da Viyah,Punjabi,5.1
Mayday Life,Mandarin,7.3
Love Alarm,Korean,7.4
Marriage Palace,Punjabi,6.3
Halloween,English,6.5
Gintama 2: Rules Are Made To Be Broken,Japanese,6.6
Saavat,Marathi,6.7
Simon Amstell: Set Free,English,6.4
American Factory: A Conversation with the Obamas,English,5.2
Hyperdrive,English,8.1
Povestea unui pierde vara,Romanian,6.6
Love Building,Romanian,6.9
De ce eu?,"Romanian, English",7.6
Breaking News,Romanian,6
American Factory,"English, Mandarin",7.4
Robin Hood,"English, Arabic",5.3
"Pup-o, ma!",Romanian,6.3
Lucky,"English, Spanish",7.3
Metrosexual,Thai,6
First Man,English,7.3
Celebs Go Dating,English,5.5
Instant Family,"English, Spanish",7.3
Apache: The Life of Carlos Tevez,"Spanish, Italian",6.6
Diagnosis,,7.8
Green Frontier,Spanish,7.3
Victim Number 8,Spanish,7
The Little Switzerland,"Spanish, German, Basque",4.8
Sextuplets,English,4.4
Better Than Us,"Mandarin, Russian, English",7.4
45 rpm,Spanish,7.3
Super Monsters Back to School,English,6.2
Invader Zim: Enter the Florpus,"English, Korean",7.5
Cinderella and The Secret Prince,English,5.2
The Kings Avatar,Mandarin,6.5
Escape Room,English,6.4
Til Death Do Us Part,English,6.3
Cannon Busters,English,6.9
Seasons Change,Thai,7.6
See How They Run,Thai,4.9
The Bedside Detective,Thai,6.4
The Last Sharknado: Its About Time,English,3.5
Dorm,Thai,6.9
Final Score,Thai,7
Body,Thai,6.5
Finding Steve McQueen,English,6.2
Growing Up Smith,English,6.8
For Love or Money,English,5.6
A Suitable Girl,"English, Hindi",6.9
Belle and Sebastian,"French, Italian",6.3
Happy Jail,,7
Uyare,Malayalam,8
Tiffany Haddish Presents: They Ready,English,6.2
Hasta los dientes,English,5.6
Calum von Moger: Unbroken,English,6.2
DC Super Hero Girls,English,6.9
Sisters,Thai,5.1
Office Uprising,English,6
Secret Unrequited Love,Japanese,7.2
Holiday Love,Japanese,6.7
Dele,Japanese,7.3
From Me to You,Japanese,7
The InBESTigators,English,8
Spirit Riding Free: Pony Tales,English,7.9
Colin Quinn: Red State Blue State,,7.6
The Family,English,7.7
Sintonia,Portuguese,6.7
90 ML,Tamil,3.3
London Fields,English,4.1
Rockos Modern Life: Static Cling,English,7
The Naked Director,Japanese,7.8
Dollar,English,6
Wu Assassins,"English, Cantonese",6.4
Roll Red Roll,English,7.1
The Scythian Lamb,Japanese,6.3
Fahrenheit 11/9,English,7
Badla,Hindi,7.8
Sebastian Maniscalco: Why Would You Do That?,English,7.4
Screwball,English,7.1
Mollys Game,English,7.4
Enter the Anime,Japanese,2.5
No One Will Ever Know,Spanish,6.5
Elvys Wereld So Ibiza!,Dutch,6
A Star Is Born,English,7.6
Basketball or Nothing,,7.4
Our Planet - Behind The Scenes,English,8.4
Otherhood,English,6.1
Moeyo Ken,Japanese,6.1
The Wild Adventures of Blinky Bill,English,5.1
Teachers,English,4.7
Miss Bala,"English, Spanish",5.8
Now and Then,English,6.8
Jungle,"English, Spanish, German",6.7
Seven Something,Thai,6.7
Katsugeki/Touken Ranbu,Japanese,6.5
The Mercy,"English, Spanish",6
Persona 3 The Movie: #4 Winter of Rebirth,Japanese,6.8
Tsuredure Children,Japanese,7.3
The Billionaire,Thai,7.8
Persona 3 the Movie: #1 Spring of Birth,Japanese,6.8
Kizumonogatari Part 3: Reiketsu,Japanese,8
Kizumonogatari Part 1: Tekketsu,Japanese,7.5
Cool Gel Attacks,Thai,5.6
The Rider,"English, Spanish, Sioux",7.4
Handle Me With Care,Thai,7.4
Sorry to Bother You,English,6.9
Havent You Heard? Im Sakamoto,Japanese,7.2
You Dont Choose Your Family,French,5.7
A Sisters All You Need,French,7.5
Bal Ganesh 3,Hindi,5.2
Revenge Girl,Japanese,5.4
Trico Tri: Happy Halloween,"Spanish, English",3.5
Hormones,Thai,7
Wilderness: Part Two,Japanese,7.2
Hello Stranger,"Thai, Korean",7.5
ReLIFE,Japanese,6.8
The Top Secret: Murder in Mind,Japanese,5.5
Lasting,"Polish, Spanish",5.1
Overlord,"English, German, French",6.6
The Salesman,"Persian, English",7.8
The Assignment,English,4.6
On Wings of Eagles,"English, Mandarin, Japanese",5.6
Best of Times,Thai,7
Wilderness: Part One,Japanese,7.2
Exposed: The Case Of Keli Lane,English,6.8
I Still Know What You Did Last Summer,English,4.7
A Gamblers Odyssey 2020,Japanese,5
Bumblebee,English,6.8
Manu,Telugu,7.9
Hamon: Yakuza Boogie,Japanese,5.3
A Brighter Summer Day,"Mandarin, Min Nan, Shanghainese, English",8.4
Innocent Curse,Japanese,3.9
Anonymous Noise,"Japanese, English",6.2
Khaani,Urdu,8
Are We Done Yet?,English,4.3
Regiment Diaries,Hindi,9.1
Uriyadi 2,Tamil,7.2
Mon frère,French,6.7
KENGAN ASHURA,English,8
The Red Sea Diving Resort,"English, Amharic",6.6
SAINT JUDY,English,6.3
All Good Ones Get Away,English,4.8
Whitney Cummings: Can I Touch It?,,6.4
Twelve Forever,,6.6
Tomorrow When the War Began,English,6.2
Papillon,"English, Spanish",7.2
Nobodys Fool,English,4.8
Anna and the Apocalypse,English,6
Girls With Balls,French,3.8
The Son,English,8.1
Boi,Portuguese,8.6
Eerie,"Filipino, Tagalog",4.7
The Quintessential Quintuplets,Japanese,7.3
Replicas,English,5.5
Another Life,English,5
Narratage,Japanese,5.4
Too Young To Die!,Japanese,6.8
Our Meal for Tomorrow,Japanese,6.7
Pink and Gray,Japanese,6.6
Darkest Hour,"English, French, German",7.4
Hubert und Staller - Unter Wölfen,German,6.8
Sleepless Society: Nyctophobia,,5.7
The Great Hack,English,7.1
Transformers Rescue Bots Academy,English,6.9
Beecham House,English,6.7
My Hotter Half,English,4
Unfriended: Dark Web,"English, American Sign Language, Indonesian",5.9
77 Heartbreaks,Cantonese,6.1
Cook Up A Storm,"Mandarin, Cantonese",6.4
Drink Drank Drunk,Cantonese,4.4
Predator 2,English,6.3
Twins Mission,"Cantonese, English, Filipino, Afrikaans",5.3
Typewriter,Hindi,6.5
​SAINT SEIYA: Knights of the Zodiac,Japanese,4.5
A Certain Scientific Accelerator,Japanese,7.1
The Whispering,English,3.5
The Delinquent Season,English,6.4
The Monkey King 3,"Mandarin, English",5.5
The Bacchus Lady,"Korean, Tagalog, English",7.1
Park Hwa-Young,Korean,6.5
The Princess and the Matchmaker,Korean,6.3
The Lover,"English, French",6.9
True Fiction,Korean,6.1
Kamome Diner,"Japanese, Finnish",7.1
Death Note: L: Change the WorLd,"Japanese, French, Italian, Thai, English",6.1
Memories of Matsuko,"Japanese, English",7.8
Spark,Japanese,6.2
FENGSHUI,Korean,6
Be with You,Korean,7.7
A Day,Korean,6.8
Kamikaze Girls,"Japanese, French, English",7.2
On Your Wedding Day,Korean,6.9
Déjà Vu,"Russian, English",5.6
Secret Obsession,English,4.4
Johnny English Strikes Again,"English, Russian, French, German",6.2
Rookie Historian Goo Hae-Ryung,Korean,8.2
Bem,Japanese,6
Mauli,Marathi,5.7
Unrequited Love,Chinese,7.3
"Frankenstein’s Monster’s Monster, Frankenstein",English,5.9
The Pages,English,7.1
"Kiss Him, Not Me","Japanese, English",6.7
The Peach Tree,Korean,6.3
Bogda,Marathi,7.4
A Simple Favor,English,6.8
Arifureta: From Commonplace to Worlds Strongest,Japanese,6.8
Ultraman Taiga,Japanese,8.6
Chi mha visto,Italian,5.7
Poms,English,5.9
My Hero Academia: Two Heroes,Japanese,7.5
After,English,5.3
Point Blank,English,5.7
True Tunes,,8.7
Kidnapping Stella,German,4.8
Taco Chronicles,,7.8
4L,"Spanish, French, Afrikaans",5.9
Blown Away,English,7
Extreme Engagement,,5.5
Doble Kara,"Filipino, Tagalog",8.8
Criminal Justice,English,7.7
PILI Fantasy: War of Dragons,Chinese,7.4
Cities of Last Things,"Mandarin, English, French",6.2
How Many Kilograms are the Dumbbells You Lift?,Japanese,7.1
Dr. Stone,"Japanese, English",8.2
The Best of the Wiggles,English,6.9
Chhota Bheem,"Hindi, English",5.3
Family Reunion,English,6.4
Ghost Wife,Thai,5
Aziz Ansari: RIGHT NOW,English,7.5
Blockbustaz,German,6.8
Our Evil,Portuguese,5.5
Fire Force,,7.7
Upgrade,"English, Dutch",7.5
In The Dark,English,7.4
Vox Lux,"English, Croatian, Chinese",5.9
DanMachi: Is It Wrong to Try to Pick Up Girls in a Dungeon? - Arrow of the Orion,Japanese,6.8
SCAMS,Japanese,6.3
Vampire Clay,Japanese,5
The Legend of White Snake,Chinese,7.6
Pitch Perfect 3,"English, Papiamento",5.8
The Possession Of Hannah Grace,English,5.2
The Last Czars,English,7.3
Bangkok Love Stories: Plead,Thai,7.6
Bangkok Love Stories: Objects of Affection,Thai,5.7
The Day After,"Filipino, Tagalog",6.4
Designated Survivor: 60 Days,Korean,8.1
North Country,English,7.3
The Heart Is a Lonely Hunter,"English, American Sign Language",7.6
War for the Planet of the Apes,"English, American Sign Language",7.4
Gold,Spanish,5.6
Katherine Ryan: Glitter Room,English,6.7
Record of Grancrest War,Japanese,7.2
Marmalade Boy,Japanese,5.8
The Story of Saiunkoku,"English, Japanese",7.5
Dead Calm,English,6.8
The New World,"Belarusian, Polish, Russian, Ukrainian",5.1
Onirica,Italian,3.2
AmbaSSada,"Polish, German",4.7
Basmati Blues,English,3.6
The Hunt,Korean,5.1
Fist of the North Star: New Saviour Legend,,6.8
The Sheriff in Town,Korean,6
Fight for My Way,Korean,8.1
Flowering Heart,Korean,7.2
School 2017,Korean,7.6
Chivalry of a Failed Knight,Japanese,7.3
War Against Women,"English, Swahili, French, Spanish, Bosnian",7
My Golden Life,Korean,6
Midnight Runners,Korean,7.2
"Love, Lies",Korean,6.5
Executive Decision,"English, Arabic",6.4
44Cats,Italian,6.3
Swiped,English,3.2
The Accountant of Auschwitz,"English, German",7.3
Zombie Dumb,Korean,5.7
Hatchimals | Adventures in Hatchtopia,English,7.8
Molang,"English, French, Greek",8.5
Radio Romance,Korean,6.6
Are You Human,Korean,8
Stone Age,English,6.3
Inhuman Kiss,Thai,6.5
Romeo Akbar Walter,Hindi,6.6
Scare Tactics,English,6.7
Creed II,"English, Russian, Sign Languages",7.1
Three Identical Strangers,English,7.6
Super Deluxe,Tamil,8.3
The Amityville Murders,,4.7
Shaft,English,6.4
Exhibit A,,6
7SEEDS,,6.4
The Chosen One,Portuguese,5.6
Family Business,English,5.8
La Leyenda del Diamante,Spanish,3.4
El testigo,Spanish,8.1
Spider-Man: Into the Spider-Verse,"English, Spanish",8.4
Paranoia Agent,"English, Japanese",8.1
Daniel Sosa: Maleducado,Spanish,6.8
Super Bheem,Hindi,6.2
ANIMA,English,7.7
Unbroken,"English, Japanese, Italian",7.2
Hikaru Utada Laughter in the Dark Tour 2018,Japanese,8.5
Mike Epps: Only One Mike,English,4.8
The Beast and the Beauty,Korean,6.6
The Front Line,"Korean, English",7.4
Unstoppable,Korean,6.6
The Face Reader,Korean,6.9
Dark Figure of Crime,Korean,6.6
Man On The Edge,Korean,6.3
Detective K: Secret of Virtuous Widow,Korean,6.3
Nameless Gangster: Rules of the Time,"Korean, Japanese",7.1
Dont Click,Korean,4.8
Hit-and-Run Squad,Korean,5.7
Detective K: Secret of the Living Dead,Korean,6.1
Love On-Air,"Hindi, Punjabi, Gujarati, English",2.9
Com a Palavra: Arnaldo Antunes,Portuguese,7.9
Lucky Luke,English,5.2
Jules and Jim,"French, German, English",7.8
Blood Will Tell,Spanish,6.1
The End of Evangelion,Japanese,8.1
Neon Genesis Evangelion,"Japanese, English",8.5
Mr. Iglesias,English,7.1
The Wolfs Call,French,6.9
"Last Winter, We Parted",Japanese,6.6
Rakkhosh,Hindi,4.7
Good Luck,"English, Japanese",7.3
Bewildered Bolbol,Arabic,6.4
Three-Quarters Decent,,3.3
Beats,English,7.1
The Edge of Democracy,"Portuguese, English",7.2
The Nun,"English, French, Romanian, Latin",5.3
Smallfoot,"English, Mandarin",6.6
Memory Games,"English, German, Swedish, Mongolian",6.7
Its the Law,"English, Hebrew",7.3
Big Kill,English,5.3
Adam Devine: Best Time of Our Lives,English,5.8
29+1,Cantonese,6.8
Bob Lazar: Area 51 and Flying Saucers,English,5.6
Sunset in My Hometown,Korean,6.2
The Hidden Face,Spanish,7.4
Roman Holiday,"English, Italian, German",8
Kikoriki. Legend of the Golden Dragon,"Russian, English",5.2
Little Forest,Korean,7.1
Love+Sling,Korean,6
Anarchist from Colony,"Korean, Japanese, English",6.1
DreadOut,Indonesian,5.2
Kiseki: Sobito of That Day,Japanese,6.5
Right Here Right Now,German,5.5
Little Italy,"English, Italian, Latin",5.7
Luckee,Marathi,4.4
Gifted,English,7.6
Bal Ganesh,,6.9
The Legend of Buddha,English,6.6
3 Seconds Divorce,"Hindi, Urdu, English",7.4
Bal Ganesh 2,Hindi,7.4
Monopoly (The Bank Of Luck),Arabic,5.9
Somewhere Only We Know,"Mandarin, English",5.3
Chief of Staff,Korean,7.9
DJ Cinderella,Portuguese,4.4
Murder Mystery,"English, French, Latin, Spanish",6
Awake: The Million Dollar Game,English,6
Life Overtakes Me,"Swedish, Ukrainian, English",6.5
Unit 42,French,7
Trinkets,English,7.1
Yankee,Spanish,5.9
Leila,Hindi,4.8
Professor Marston and the Wonder Women,English,7.1
Pihu,Hindi,7.6
Jinn,"English, Arabic",3.5
The 3rd Eye 2,Indonesian,5.5
BlacKkKlansman,English,7.5
Savage Raghda,Arabic,5.2
Flimflam,Arabic,5.5
The Right One,English,6.6
Convict,English,5.3
The Cell,French,7.1
Backtrace,English,3.8
Jo Koy: Comin In Hot,English,7.3
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,English,7.6
Crazy Rich Asians,"English, Mandarin, Cantonese, Hokkien, French, Malay",6.9
Tamo Junto,Portuguese,6.1
Mamma Mia! Here We Go Again,"English, French, Greek",6.6
Pachamama,"English, French",6.8
The Black Godfather,English,7.4
Super Monsters Monster Pets,English,6.5
Tales of the City,English,7.4
The Chef Show,English,8.2
I Am Mother,English,6.7
Belmonte,Spanish,6.1
Luka Chuppi,Hindi,6.3
Stree,Hindi,7.6
Everybody Knows,"Spanish, English, Catalan",6.9
Alles ist gut,Hindi,3.8
Tremble All You Want,Japanese,6.9
Freezers Campaign,English,5.2
"Its Okay, Buddy","English, Hebrew",7.3
Ms. Mammy,Arabic,4.7
Dr. Seuss The Grinch,English,6.3
Climax,"French, English",7
The Female Brain,English,5.8
Happy Death Day,English,6.6
Guerras do Brasil,Portuguese,7.6
Voll Normaaal!,German,5.4
Calimero,Japanese,5.8
Arthdal Chronicles,Korean,8.4
Shoplifters,Japanese,7.9
The Quake,Norwegian,6.2
Speed Kills,"English, Spanish",4.2
Then Came You,,7
"Oh, Ramona!",English,4.9
Marrowbone,English,6.7
Master Z: The Ip Man Legacy,"Cantonese, Mandarin, English",6.5
Kim Cattrall: Sexual Intelligence,English,4.6
Peppermint,"English, Spanish",6.5
The Post,English,7.2
The Big Sick,"English, Urdu",7.5
Tatarak,Polish,6.5
All the Money in the World,"English, Italian, Arabic",6.8
The Princess and the Dragon,"Russian, German",4.6
Trading Paint,English,4.4
Papusza,"Polish, Romany",7.4
Buena Vista Social Club: Adios,"English, Spanish",6.9
Blindspotting,English,7.4
Will You Be There?,Korean,7
Revenge,,7.2
黒執事 Book of the Atlantic,Japanese,7.7
#Selfie,Romanian,6.1
Krutant,Marathi,6.5
Love Is a Story,Romanian,6.1
We Are Legends,Cantonese,5.2
III Smoking Barrels,"English, Hindi, Bengali, Assamese, Manipuri",6.6
Leaving Neverland,English,7
#Selfie 69,"Romanian, English",6.2
A Thousand Goodnights,"Mandarin, Min Nan, English",8
Chopsticks,Hindi,6.5
Always Be My Maybe,English,6.8
Playing with Fire,"English, Spanish, French",5.1
Killer Ratings,Portuguese,7.7
When They See Us,English,8.9
How to Sell Drugs Online (Fast),German,7.9
Pegasus,Mandarin,6.2
Svaha: The Sixth Finger,"Korean, English",6.3
Mere Pyare Prime Minister,English,6.8
Hunter Killer,"English, Russian",6.6
Hans Teeuwen - Echte Rancune,"Dutch, English, French",6.5
The Meg,"English, Mandarin, Thai, Japanese",5.6
Charmed,English,7.1
Freaktown,English,6.5
Historical Roasts,English,5.3
Hotel Artemis,"English, French",6.1
La Luna Sangre,Filipino,5.7
Joy,English,8.3
Rim of the World,"English, Chinese",5.2
After Maria,Spanish,4.5
The Perfection,"English, Mandarin",6.1
High Seas,Spanish,6.8
WHAT / IF,English,6.3
Booksmart,"English, Mandarin, Spanish",7.2
One Spring Night,Korean,7.9
Furie,Vietnamese,6.3
A Tale of Two Kitchens,"Spanish, English",6.4
Prêt à tout,French,5.4
The Man Who Feels No Pain,"Hindi, English, Marathi, Malayalam",7.4
Mission: Impossible - Fallout,"English, French",7.7
Wanda Sykes: Not Normal,,7.2
A Faithful Man,French,6.2
Ben Is Back,English,6.7
Agatha Christies Crooked House,English,6.3
Zoku Owarimonogatari,Japanese,7.9
The Little Paris Kitchen: Cooking with Rachel Khoo,English,8.1
Lenette van Dongen - Tegenwind,Dutch,8.2
Maria,"Tagalog, Filipino, English",5
Matangi/Maya/M.I.A.,English,7.6
Saverio Raimondo: Il Satiro Parlante,Italian,6.1
ReMastered: The Lions Share,,6.9
Dying to Tell,"English, Spanish, Arabic",6.8
See You Yesterday,English,5.2
1994,Spanish,7.6
Chip and Potato,English,6.4
Well-Intended Love,Mandarin,7.4
Its Bruno!,English,7.5
Born in Syria,Arabic,7.7
Born in Gaza,"English, Arabic",7.4
Good Sam,English,5.7
Najib Amhali - I Amhali,Dutch,7
Ronald Goedemondt - Geen Sprake Van,Dutch,7.7
Emilio Guzman - Alle Mensen Verzamelen,Dutch,7.2
Hagazussa: A Heathens Curse,German,5.9
Dennis and Gnasher Unleashed,English,7.3
Tim Fransen - Het Failliet van de Moderne Tijd,Dutch,7.5
Support the Girls,English,6.4
RBG,"English, Italian, German, French",7.6
"Heidi, bienvenida a casa",Spanish,6.7
Will and Grace,English,7.2
Cold War,"Polish, French, Croatian, German, Russian, Serbian, Italian",7.6
"Tokyo Tower: Mom and Me, and Sometimes Dad",Japanese,7.4
Sing My Life,Japanese,6.1
Oppai Volleyball,Japanese,6.1
Strayers Chronicle,Japanese,4.9
The Case of Hana and Alice,Japanese,7.1
Hot Road,Japanese,5.9
Beyond the Memories,Japanese,6.6
Heroine Disqualified,Japanese,6.6
Initiation Love,Japanese,7.1
I Give My First Love to You,Japanese,7.2
7 Din Mohabbat In,Urdu,4.9
Hamid,"Urdu, Hindi",7.8
Atomic Blonde,"English, German, Russian, Swedish",6.7
Cake,,8.8
Backdraft 2,English,4.9
Still LAUGH-IN: The Stars Celebrate,English,5.1
Terrace House: Tokyo 2019-2020,Japanese,8.2
Weed the People,English,7.3
Killer Cove,English,4.3
Norm of the North: Keys to the Kingdom,English,3
The Wife,"English, Swedish",7.2
Malibu Rescue,English,5.3
Merata: How Mum Decolonised the Screen,,7
Kin,English,5.8
The Snowman,"English, Russian",5.1
The Defected,Chinese,7.3
Katie,German,6.3
Skyscraper,"English, Cantonese, Mandarin",5.8
Breaking In,English,5.5
Phi,English,7.4
Shéhérazade,French,7.1
Wine Country,English,5.4
Dry Martina,Spanish,5.8
In Family I Trust,Spanish,6.2
The Society,English,7.1
Jailbirds,,7.1
Kabaneri of the Iron Fortress: The Battle of Unato,Japanese,6.7
Is,English,6.7
One Fine Spring Day,Korean,7.1
Another Miss Oh,Korean,7.9
The Goose Goes South,"Japanese, Korean",6
Romans 8:37,Korean,7.2
The Midwife,French,6.7
The Big Swindle,Korean,6.6
Romance of Their Own,Korean,6.3
The Day He Arrives,Korean,7
Sgt. Stubby: An American Hero,"English, French, German",6.9
The Devotion of Suspect X,Mandarin,6.2
The Pension,Korean,5.9
Grass,,7.1
Crying Fist,Korean,7.3
Draw,English,7
