Title,Languages,Score
Malcolm & Marie,English,7.2
Little Big Women,"Mandarin, Min Nan",7.3
Invisible City,English,7.3
Yakuza Ladies: The Final Battle,Japanese,6.3
Tim Maia,"Portuguese, English",7.2
Doob: No Bed of Roses,Bengali,6.2
The Yin-Yang Master: Dream Of Eternity,Chinese,6.3
Ghost Buddies,Mandarin,5
A Febre,Portuguese,7.8
Money,"English, Spanish",5.5
Starring Maja,Swedish,6.3
Strong As A Lion,Swedish,4.5
The Assault,"French, Arabic",6.1
The Dream House,"English, Spanish",9.4
The Great Adventure,Swedish,6.8
The Pilgrimage to Kevlaar,None,7
Karl Fredrik Reigns,Swedish,5.2
Irl (In Real Life),Swedish,5.1
Ingeborg Holm,None,7.1
Hanna in Society,Swedish,3.8
Erotikon,"None, Swedish",6.5
Career,English,6.9
Blackjack,English,4.9
Bit By Bit,"Swedish, English, Yiddish",4.8
As Seen On Tv,English,8.6
Angel,English,7.9
A Man There Was,None,7.4
Black Beach,"Spanish, English",5.5
Skandal. Ewenement Molesty,Polish,6.2
Kid Cosmic,,8.3
The Unsettling,English,5.1
Zac and Mia,English,7.9
My Dead Ex,English,7
Love Daily,English,6.3
Stolen face,English,6.1
The Woman Who Keeps a Murderer,Japanese,4.8
Dragon Quest: The Adventure of Dai,Japanese,8.1
Aircraft Carrier Ibuki,Japanese,4.6
According to Our Butler,Japanese,5
Step,English,6.8
The Magician,"Turkish, English",7.4
Tek Tek Boom,Arabic,2.8
I Love Cinema,Arabic,6.5
Breaking News,"Cantonese, Mandarin, English",6.7
"Miszmasz, czyli Kogel mogel 3",Polish,3.7
Blippi,"English, Spanish, German",7.8
The Great Race,English,7.3
Superman: Red Son,English,6.4
Paper Champions,English,7.3
My Blind Date with Life,German,7.1
Ill Always Know What You Did Last Summer,"English, Sanskrit",6.5
Fatima,English,6.6
The House Arrest of Us,Filipino,8.3
Critical Thinking,"English, Spanish",6.4
The House That Jack Built,"English, German, Italian",6.8
Trolls World Tour,English,6.1
Ace Attorney,Japanese,6.6
We Are: The Brooklyn Saints,English,7
The Dig,English,6.3
Below Zero,English,7.3
Alone,Turkish,6.8
June & Kopi,English,4.2
Yolki 1914,Russian,4.6
Sonic the Hedgehog,"English, French",6.5
You Should Have Left,English,5.4
Partners: The Movie III,Japanese,5.4
Partners: The Movie II,Japanese,6.1
Partners: The Movie,Japanese,6.1
Partners: The Movie IV,,6.6
Sober Companion,English,6.2
National Street,Czech,5.7
Penguin Bloom,English,6.8
50M2,Turkish,7
Samjin Company English Class,"Korean, English",6.7
Kilometers and Kilometers,Malayalam,6.3
Prokurator,Polish,7
Go Dog Go,,8.4
Accomplice,English,5.4
Game of Truth,Russian,6.9
Jiu Jitsu,English,2.9
Squadron 303,"Polish, English",5.7
Lara,German,7.1
The Anniversary,English,7
That Trip we took with Dad,"German, Romanian",7.2
The Oddsockeaters,Czech,5.9
The Oak,Romanian,8.1
Touch Me Not,"English, German",5.9
Youtube Bazaar,"Romanian, Romany, English",7.5
Zavera,Romanian,4.5
It Takes Two to Fence,Romanian,6.3
Funeralii fericite,Romanian,7.2
Doua Lozuri,Romanian,8.2
Chasing Rainbows,Romanian,7.1
Caisa,Romanian,7.9
Between Pain and Amen,Romanian,7.4
No Festival,Romanian,9.7
The Hunt,"Danish, English, Polish",8.3
Paradise Next,"Japanese, Mandarin",5.5
Flower of Evil,None,6.7
Investiture of the Gods,Mandarin,7.3
I Still Believe,English,6.5
The White Tiger,"Hindi, English",7.2
Fate: The Winx Saga,English,7
Dragon,Mandarin,7.1
Dinner With Friends,English,6.1
Cut Throat City,English,4.9
Cromartie High School,Japanese,7.7
Im Home,"English, Sanskrit",6.5
come away,English,5.9
Affliction,English,7
Daughter From Another Mother,Spanish,7.3
Horizon Line,English,4.6
The Battery,English,6.4
Restiamo amici,Italian,5.1
UnAvventura,"None, French",7.7
Sightless,"English, Spanish, French",5.4
Sluzby specjalne,,6.8
Bungo Stray Dogs WAN!,Japanese,7.1
Radium Girls,English,6.2
Ever Night,Mandarin,8.3
Mushoku Tensei: Jobless Reincarnation,Japanese,8.7
Death of Me,"English, Thai",4.4
Sheep & Wolves 2: Pig Deal,"French, English",5.9
Lucky Trouble,Russian,6
